,train,val,test
Anaplastic_ependymoma,32,5,9
Fibrous_meningioma,39,6,11
Anaplastic_astrocytoma__IDH-wildtype,31,4,9
Angiomatous_meningioma,16,2,4
Secretory_meningioma,29,4,8
Lipoma,25,4,7
Pilocytic_astrocytoma,121,17,34
Atypical_meningioma,58,8,16
Anaplastic_oligodendroglioma__IDH-mutant_and_1p/19q_codeleted,60,9,17
Anaplastic_astrocytoma__IDH-mutant,32,4,9
Diffuse_astrocytoma__IDH-mutant,47,7,14
Diffuse_large_B-cell_lymphoma_of_the_CNS,41,6,12
Transitional_meningioma,47,7,13
Meningothelial_meningioma,73,10,21
Langerhans_cell_histiocytosis,20,3,6
Gliosarcoma,41,6,12
Ganglioglioma,61,9,18
Anaplastic_meningioma,31,4,9
Chordoma,19,3,6
Schwannoma,57,8,16
Adamantinomatous_craniopharyngioma,59,8,17
Medulloblastoma__non-WNT/non-SHH,23,3,6
Psammomatous_meningioma,18,3,5
Haemangioblastoma,61,9,17
Metastatic_tumours,32,5,9
Haemangioma,21,3,6
Haemangiopericytoma,24,3,7
Ependymoma,32,5,9
Glioblastoma__IDH-mutant,23,3,7
Pituitary_adenoma,68,10,20
Oligodendroglioma__IDH-mutant_and_1p/19q_codeleted,59,8,17
Glioblastoma__IDH-wildtype,326,47,93
