,train,val,test
0,2,631,792
1,3,193,577
2,6,1030,170
3,7,737,52
4,8,552,207
5,9,1017,234
6,11,394,898
7,12,112,791
8,13,794,295
9,14,133,324
10,15,986,945
11,16,926,310
12,17,823,191
13,19,595,158
14,22,119,387
15,24,756,363
16,29,21,840
17,30,264,541
18,33,410,542
19,34,775,644
20,35,472,972
21,36,726,853
22,37,973,862
23,38,668,311
24,39,610,268
25,44,760,575
26,47,496,951
27,48,202,868
28,49,210,67
29,50,963,76
30,53,156,137
31,56,921,370
32,58,672,83
33,59,801,699
34,61,275,871
35,62,887,999
36,63,601,203
37,65,308,593
38,66,856,892
39,70,74,122
40,72,968,772
41,73,145,686
42,78,60,1035
43,79,619,297
44,82,876,1046
45,85,425,1031
46,88,10,443
47,94,656,711
48,96,318,241
49,97,478,616
50,98,350,175
51,99,545,723
52,100,388,919
53,103,1053,336
54,104,375,845
55,106,889,858
56,110,1021,1026
57,111,622,331
58,113,885,57
59,114,274,880
60,115,75,107
61,117,694,627
62,118,551,445
63,120,18,605
64,123,949,32
65,125,948,658
66,126,600,255
67,127,250,346
68,128,71,446
69,129,109,550
70,130,681,1043
71,134,555,252
72,136,580,26
73,138,28,614
74,140,773,163
75,141,90,966
76,143,282,865
77,144,785,180
78,146,1014,989
79,150,957,819
80,157,498,883
81,160,506,5
82,162,124,167
83,166,262,402
84,169,568,1029
85,171,1012,152
86,172,211,768
87,173,939,337
88,174,290,93
89,177,27,852
90,179,486,435
91,181,1037,68
92,184,371,513
93,185,23,428
94,186,612,153
95,187,733,837
96,188,797,705
97,190,259,139
98,194,707,843
99,196,741,561
100,198,967,825
101,199,683,280
102,200,245,826
103,205,,226
104,209,,981
105,212,,240
106,213,,89
107,214,,433
108,215,,1020
109,217,,176
110,218,,680
111,219,,1
112,221,,406
113,222,,298
114,224,,639
115,227,,1045
116,229,,701
117,230,,976
118,235,,164
119,236,,437
120,242,,151
121,244,,816
122,247,,592
123,249,,495
124,256,,51
125,257,,909
126,260,,971
127,261,,41
128,263,,557
129,265,,225
130,266,,189
131,272,,396
132,273,,182
133,277,,778
134,278,,626
135,281,,788
136,283,,132
137,284,,812
138,285,,761
139,286,,267
140,287,,254
141,293,,291
142,299,,911
143,300,,359
144,301,,231
145,303,,633
146,304,,810
147,305,,516
148,306,,691
149,309,,923
150,312,,511
151,313,,165
152,314,,20
153,315,,393
154,316,,584
155,319,,317
156,322,,404
157,325,,84
158,326,,790
159,328,,476
160,329,,943
161,330,,888
162,332,,121
163,333,,512
164,335,,895
165,339,,323
166,340,,714
167,343,,722
168,347,,583
169,348,,509
170,349,,269
171,351,,870
172,354,,276
173,356,,69
174,357,,148
175,358,,571
176,360,,183
177,361,,92
178,362,,635
179,365,,774
180,366,,294
181,367,,40
182,368,,87
183,369,,650
184,373,,675
185,374,,872
186,376,,289
187,377,,744
188,378,,752
189,379,,640
190,380,,789
191,381,,985
192,384,,510
193,385,,417
194,386,,743
195,390,,154
196,391,,208
197,392,,523
198,395,,617
199,398,,572
200,400,,719
201,401,,372
202,403,,397
203,405,,86
204,408,,710
205,409,,484
206,413,,237
207,414,,703
208,419,,
209,420,,
210,421,,
211,422,,
212,423,,
213,424,,
214,426,,
215,427,,
216,429,,
217,430,,
218,431,,
219,432,,
220,434,,
221,436,,
222,438,,
223,440,,
224,441,,
225,442,,
226,447,,
227,448,,
228,449,,
229,450,,
230,451,,
231,453,,
232,454,,
233,455,,
234,456,,
235,458,,
236,459,,
237,460,,
238,461,,
239,462,,
240,463,,
241,466,,
242,467,,
243,469,,
244,471,,
245,474,,
246,475,,
247,477,,
248,479,,
249,480,,
250,481,,
251,482,,
252,483,,
253,485,,
254,487,,
255,488,,
256,489,,
257,491,,
258,493,,
259,499,,
260,501,,
261,505,,
262,507,,
263,514,,
264,517,,
265,520,,
266,521,,
267,524,,
268,525,,
269,526,,
270,529,,
271,530,,
272,531,,
273,532,,
274,533,,
275,534,,
276,535,,
277,536,,
278,538,,
279,539,,
280,543,,
281,546,,
282,548,,
283,549,,
284,554,,
285,560,,
286,562,,
287,563,,
288,564,,
289,565,,
290,566,,
291,567,,
292,573,,
293,574,,
294,576,,
295,578,,
296,579,,
297,581,,
298,582,,
299,585,,
300,587,,
301,588,,
302,589,,
303,590,,
304,591,,
305,596,,
306,597,,
307,598,,
308,599,,
309,602,,
310,604,,
311,606,,
312,608,,
313,609,,
314,613,,
315,620,,
316,623,,
317,624,,
318,628,,
319,629,,
320,630,,
321,632,,
322,634,,
323,637,,
324,641,,
325,642,,
326,643,,
327,645,,
328,647,,
329,648,,
330,651,,
331,653,,
332,654,,
333,655,,
334,659,,
335,660,,
336,662,,
337,663,,
338,664,,
339,665,,
340,666,,
341,667,,
342,669,,
343,670,,
344,671,,
345,673,,
346,674,,
347,676,,
348,677,,
349,678,,
350,679,,
351,688,,
352,690,,
353,697,,
354,704,,
355,709,,
356,713,,
357,716,,
358,717,,
359,718,,
360,721,,
361,724,,
362,725,,
363,727,,
364,729,,
365,730,,
366,731,,
367,732,,
368,734,,
369,735,,
370,736,,
371,738,,
372,739,,
373,740,,
374,745,,
375,747,,
376,748,,
377,750,,
378,751,,
379,753,,
380,755,,
381,757,,
382,758,,
383,759,,
384,762,,
385,763,,
386,764,,
387,766,,
388,767,,
389,769,,
390,770,,
391,779,,
392,780,,
393,781,,
394,782,,
395,786,,
396,787,,
397,793,,
398,795,,
399,796,,
400,798,,
401,799,,
402,800,,
403,802,,
404,804,,
405,806,,
406,807,,
407,808,,
408,809,,
409,811,,
410,813,,
411,814,,
412,815,,
413,817,,
414,821,,
415,822,,
416,828,,
417,829,,
418,831,,
419,832,,
420,833,,
421,834,,
422,839,,
423,841,,
424,842,,
425,844,,
426,847,,
427,848,,
428,849,,
429,850,,
430,851,,
431,857,,
432,859,,
433,860,,
434,866,,
435,869,,
436,873,,
437,875,,
438,877,,
439,882,,
440,884,,
441,886,,
442,890,,
443,891,,
444,893,,
445,894,,
446,899,,
447,900,,
448,902,,
449,904,,
450,905,,
451,906,,
452,910,,
453,912,,
454,913,,
455,914,,
456,916,,
457,917,,
458,918,,
459,920,,
460,922,,
461,924,,
462,925,,
463,928,,
464,929,,
465,930,,
466,931,,
467,932,,
468,933,,
469,935,,
470,937,,
471,938,,
472,940,,
473,941,,
474,942,,
475,944,,
476,946,,
477,947,,
478,950,,
479,952,,
480,953,,
481,954,,
482,955,,
483,956,,
484,958,,
485,959,,
486,960,,
487,962,,
488,969,,
489,970,,
490,977,,
491,978,,
492,979,,
493,983,,
494,987,,
495,990,,
496,992,,
497,993,,
498,996,,
499,997,,
500,998,,
501,1000,,
502,1001,,
503,1002,,
504,1004,,
505,1005,,
506,1006,,
507,1007,,
508,1008,,
509,1009,,
510,1010,,
511,1011,,
512,1013,,
513,1022,,
514,1023,,
515,1024,,
516,1025,,
517,1027,,
518,1028,,
519,1032,,
520,1033,,
521,1034,,
522,1036,,
523,1038,,
524,1039,,
525,1040,,
526,1041,,
527,1044,,
528,1047,,
529,1048,,
530,1050,,
531,1051,,
532,1055,,
533,1057,,
534,1058,,
535,4,,
536,31,,
537,42,,
538,43,,
539,46,,
540,54,,
541,55,,
542,64,,
543,77,,
544,80,,
545,81,,
546,91,,
547,95,,
548,101,,
549,102,,
550,105,,
551,116,,
552,131,,
553,135,,
554,142,,
555,147,,
556,149,,
557,155,,
558,159,,
559,161,,
560,168,,
561,192,,
562,197,,
563,201,,
564,204,,
565,206,,
566,216,,
567,223,,
568,228,,
569,232,,
570,233,,
571,238,,
572,239,,
573,243,,
574,246,,
575,248,,
576,251,,
577,253,,
578,258,,
579,270,,
580,271,,
581,288,,
582,296,,
583,302,,
584,320,,
585,321,,
586,327,,
587,334,,
588,338,,
589,341,,
590,342,,
591,344,,
592,345,,
593,352,,
594,353,,
595,355,,
596,364,,
597,382,,
598,383,,
599,389,,
600,411,,
601,412,,
602,416,,
603,418,,
604,439,,
605,444,,
606,452,,
607,457,,
608,464,,
609,465,,
610,468,,
611,470,,
612,490,,
613,492,,
614,494,,
615,497,,
616,500,,
617,502,,
618,503,,
619,504,,
620,508,,
621,515,,
622,518,,
623,522,,
624,527,,
625,528,,
626,537,,
627,540,,
628,544,,
629,547,,
630,553,,
631,556,,
632,558,,
633,559,,
634,569,,
635,570,,
636,586,,
637,594,,
638,603,,
639,611,,
640,615,,
641,618,,
642,621,,
643,625,,
644,636,,
645,638,,
646,646,,
647,649,,
648,652,,
649,657,,
650,661,,
651,682,,
652,684,,
653,685,,
654,687,,
655,689,,
656,692,,
657,693,,
