,train,val,test
0,1660,60988,39880
1,1943,55287,3191
2,1952,22155,17291
3,4877,18014,20205
4,5970,52420,35197
5,6359,13526,45725
6,7955,64824,22489
7,9658,53377,60685
8,10548,44976,27315
9,12222,42857,7482
10,13987,54949,12442
11,14051,38018,6449
12,15470,34649,32032
13,15486,61689,8279
14,16325,35998,57696
15,16876,34720,4827
16,17067,1020,40888
17,18813,27249,11263
18,21929,39172,22290
19,22425,65533,15231
20,24563,52308,58895
21,25923,46139,28922
22,25928,32035,56843
23,26219,36008,5992
24,26533,37367,39297
25,26950,26603,5307
26,28603,19157,8805
27,29615,43432,29331
28,29915,1666,18981
29,30203,17854,54990
30,30272,16986,59589
31,30369,18547,60058
32,31033,15583,4
33,36063,52612,61424
34,36302,8130,34845
35,38349,11557,55281
36,38669,15188,46435
37,38687,57711,5114
38,40129,52846,36204
39,42125,60936,30738
40,42296,51499,3055
41,42549,14424,706
42,43796,10800,17174
43,44283,19569,63941
44,44581,39269,431
45,44603,38479,26190
46,45990,52752,2097
47,46543,61823,14039
48,46769,23523,6140
49,47960,37190,39990
50,48506,48502,1252
51,51346,56993,52438
52,52259,,37655
53,52375,,20670
54,52461,,34247
55,52931,,20858
56,54928,,18914
57,56861,,3264
58,56947,,36499
59,57598,,62641
60,58947,,49281
61,58974,,64950
62,59515,,15293
63,61961,,46793
64,62828,,36583
65,63015,,26862
66,63165,,9183
67,63289,,56500
68,970,,5852
69,1080,,8985
70,1101,,38585
71,1289,,34277
72,1295,,57162
73,1774,,14401
74,1925,,56875
75,2706,,18607
76,3098,,60928
77,3881,,38901
78,4211,,5265
79,4963,,11431
80,5015,,24023
81,5251,,21373
82,5264,,43998
83,5851,,38647
84,6175,,53859
85,6558,,49942
86,6843,,17487
87,6951,,54408
88,8213,,50962
89,8240,,49995
90,8280,,3222
91,8713,,33984
92,9154,,32636
93,9341,,286
94,9509,,63836
95,9697,,53900
96,10143,,53655
97,10642,,3084
98,10896,,39252
99,11417,,42260
100,11559,,6582
101,12159,,30986
102,13364,,30868
103,14127,,39208
104,14542,,34508
105,15139,,31297
106,15209,,
107,15221,,
108,15871,,
109,16042,,
110,16209,,
111,16494,,
112,17365,,
113,17416,,
114,17637,,
115,18196,,
116,18568,,
117,18896,,
118,19255,,
119,19512,,
120,20312,,
121,20316,,
122,20463,,
123,21432,,
124,22654,,
125,24507,,
126,24617,,
127,24759,,
128,24991,,
129,25561,,
130,25792,,
131,26124,,
132,26644,,
133,27245,,
134,27739,,
135,27747,,
136,27950,,
137,28028,,
138,28121,,
139,28393,,
140,28519,,
141,28821,,
142,29147,,
143,29200,,
144,29240,,
145,29888,,
146,29904,,
147,30508,,
148,30539,,
149,30794,,
150,31333,,
151,31473,,
152,32112,,
153,32192,,
154,32596,,
155,35239,,
156,35592,,
157,35652,,
158,36513,,
159,36639,,
160,38041,,
161,38048,,
162,38097,,
163,38535,,
164,39144,,
165,39146,,
166,39255,,
167,39365,,
168,39425,,
169,39728,,
170,39893,,
171,40639,,
172,41361,,
173,41801,,
174,43390,,
175,43671,,
176,43815,,
177,43875,,
178,44432,,
179,45104,,
180,45185,,
181,46172,,
182,46469,,
183,46736,,
184,47020,,
185,47837,,
186,47911,,
187,47984,,
188,48861,,
189,48973,,
190,50589,,
191,50712,,
192,50878,,
193,50932,,
194,51021,,
195,51832,,
196,52275,,
197,52784,,
198,53059,,
199,53688,,
200,54007,,
201,54506,,
202,54590,,
203,54825,,
204,56221,,
205,57100,,
206,57468,,
207,59031,,
